Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Trapjaw Tyrant,Rivals of Ixalan,3WW,Creature  - Dinosaur,White,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422065/large/155757_200w.jpg?1515181243,4.5,,"It's a shame that this doesn't take something out with it when it dies in combat, but either way it's a beating. It's got great stats and a very powerful ability, which are all the hallmarks of a Limited bomb.",white,rix,5,5,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield."
Traveler's Amulet,Rivals of Ixalan,1,Artifact,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422066/large/155751_200w.jpg?1515181246,3,,"Much like Evolving Wilds, I'd play this in most 2-color decks (though it gets worse with tons of 2-drops, unlike Wilds). It enables splashes nicely and is a card I want to open in Sealed.",gold,rix,,,"{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library."
Treasure Map,Ixalan,2,Artifact,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376301/large/144537_200w.jpg?1504290489,3,,"I'm in for a treasure hunt, as this provides a little value each turn until the third, at which point you get showered in a bounty of riches. Like many of these cards, this is a late-game engine more than anything proactive, so don't overload your deck with nonsense or you will get run over.",gold,xln,,,"{1}, {T}: Scry 1. Put a landmark counter on Treasure Map. Then if there are three or more landmark counters on it, remove those counters, transform Treasure Map, and create three colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Trove of Temptation,Ixalan,3R,Enchantment,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378918/large/Trove-of-Temptation-Ixalan-Spoiler.png?1505253879,1,,"This is a very strange card, and I am indeed tempted to try it. Making a mana per turn isn't quite good enough, but being able to stack them up and use them to play something really big is a real upside. Forcing the opponent to attack is cute too, though if they have any reasonable attacks then this does nothing since they just need to send one creature. If the stars align and you have a controlling ramp deck with good midrange blockers, maybe this does the trick, but I have my doubts.",red,xln,,,"Each opponent must attack you or a planeswalker you control with at least one creature each combat if able. At the beginning of your end step, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Twilight Prophet,Rivals of Ixalan,2BB,Creature  - Vampire Cleric,Black,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422067/large/155783_200w.jpg?1515181250,3.5,,"2/4 flyers for 4 are always good times, and this gets significantly better once you've hit 10 permanents. Twilight Prophet is a reason to draft a deck looking to ascend, though it's perfectly fine without any additional work.",black,rix,2,4,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of your upkeep, if you have the city's blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card's converted mana cost."
Unclaimed Territory,Ixalan,,Land,Land,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377548/large/144881_200w.jpg?1504650170,2,,"In a heavy tribal deck, this is likely worth it, though not by a ton. It does add colorless for other cards, but not fixing mana when it comes to spells is a big drawback.",gold,xln,,,"As Unclaimed Territory enters the battlefield, choose a creature type. {T}: Add {C} to your mana pool. {T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
Unfriendly Fire,Ixalan,4R,Instant,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377549/large/144884_200w.jpg?1504650172,3,,"Being able to hit the opponent makes this a card I'm happy to see, much like any good friend. It's fine to have multiples, and even though it's not the most efficient card in the world, you are never cutting it.",red,xln,,,Unfriendly Fire deals 4 damage to target creature or player.
Unknown Shores,Ixalan,,Land,Land,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379516/large/145704_200w.jpg?1505504794,1,,"I still don't like this card, though the flavor of including it in this set is nice. Adding a mana to the cost of your spells is big, and I'd only run this if I were 3 colors and had a lot of cheap cards.",gold,xln,,,"{T}: Add {C} to your mana pool. {1}, {T}: Add one mana of any color to your mana pool."
Vampire Champion,Rivals of Ixalan,3B,Creature  - Vampire Soldier,Black,Common,,,,,,,3,3,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Vampire Revenant,Rivals of Ixalan,3B,Creature  - Vampire Spirit,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422079/large/155785_200w.jpg?1515181282,1.5,,"Vampire decks will play this at a slightly higher rate, though there are enough ways to take advantage of 1 toughness that I'm not overly excited by the prospect.",black,rix,3,1,Flying
Vampire's Zeal,Ixalan,W,Instant,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379517/large/145736_200w.jpg?1505504796,2,,"These combat tricks all seem passable, even if first strike isn't a huge addition (+2/+2 is likely enough to win the fight). Aggro decks should play Vampire's Zeal, regardless of the Vampire count, and other decks pretty much shouldn't.",white,xln,,,"Target creature gets +2/+2 until end of turn. If it's a Vampire, it gains first strike until end of turn."
Vance's Blasting Cannons,Ixalan,3R,Legendary Enchantment,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379518/large/145719_200w.jpg?1505504798,4.5,,"Both sides of this are fantastic, and you even have a lot of control over when you flip this to boot. Drawing (most) of an extra card every turn is great, though it's much worse than Outpost Siege because it misses on lands. Once you get to the late game, you can play three spells and turn this into a repeatable Lightning Bolt, which will dominate as easily as an extra card would. This is powerful, worth splashing, and a very high pick.",gold,xln,,,"At the beginning of your upkeep, exile the top card of your library. If it's a nonland card, you may cast that card this turn. Whenever you cast your third spell in a turn, you may transform Vance's Blasting Cannons."
Vanquish the Weak,Ixalan,2B,Instant,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379544/large/145803_200w.jpg?1505504842,3,,"This hits targets in every deck and does so at instant speed, which is a deal I'll take for 3 mana. Much like every other conditional removal, there is some risk when you have multiples, but unless I was completely smothered in these, I wouldn't worry about it.",black,xln,,,Destroy target creature with power 3 or less.
Vanquisher's Banner,Ixalan,5,Artifact,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375467/large/142034_200w.jpg?1503948976,3.5,,"I'm a big fan of this in any tribal deck, especially low-curve ones. It has an effect immediately, and works well with creatures that come before or after it. That's a way to conquer the opponent if I've ever seen one.",gold,xln,,,"As Vanquisher's Banner enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. Whenever you cast a creature spell of the chosen type, draw a card."
Verdant Rebirth,Ixalan,1G,Instant,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379519/large/145761_200w.jpg?1505504799,2,,"I have to admit, I'm curious about this card. It's a mediocre way to save a creature, as you have to re-cast it (though that does re-trigger enter-the-battlefield abilities). But it not only is a 2-for-1 when it works-you can effectively cycle it by just firing it off. I think that adds up to enough value that you should almost always play it, and I can see moving up the rating after playing with it a few times.",green,xln,,,"Until end of turn, target creature gains ""When this creature dies, return it to its owner's hand."". Draw a card."
Verdant Sun's Avatar,Ixalan,5GG,Creature  - Dinosaur Avatar,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375468/large/142027_200w.jpg?1503948978,3.5,,"I like how much life this gives you, as it basically stabilizes the board all by itself. It laughs at bounce, and makes it nearly impossible for your opponent to win a race.",green,xln,5,5,"Whenever Verdant Sun's Avatar or another creature enters the battlefield under your control, you gain life equal to that creature's toughness."
Vicious Conquistador,Ixalan,B,Creature  - Vampire Soldier,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378920/large/Vicious-Conquistador-Ixalan-Spoiler.png?1505510491,1,,"A single 2/2 and this has to stop attacking, which makes it significantly less vicious than advertised. This is more of a Constructed card than a Limited one, though I can see it making the cut (slash?) in very aggressive Vampire decks.",black,xln,1,2,"Whenever Vicious Conquistador attacks, each opponent loses 1 life."
Vineshaper Mystic,Ixalan,2G,Creature  - Merfolk Shaman,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379520/large/145762_200w.jpg?1505504801,3.5,,"Given that this can target itself, it's at worst a 2/4 for 3, and often much better than that. This is a real reason to draft Merfolk, and is good even if you don't quite get there.",green,xln,1,3,"When Vineshaper Mystic enters the battlefield, put a +1/+1 counter on each of up to two target Merfolk you control."
"Vona, Butcher of Magan",Ixalan,3WB,Legendary Creature  - Vampire Knight,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378362/large/145274_200w.jpg?1504901315,4.5,,"Besides sharing a name with one of the most iconic Diablo bosses, Vona is also one of the best bombs in the set. The clear play pattern here is to attack and to use the ability on their biggest blocker, which is cute. You also have the option of just playing this and crushing, which will work fairly well too. The only reason it doesn't get a 5 is that it dies to removal, which is a feature that the best of the best don't have.",gold,xln,4,4,"Vigilance, lifelink. {T}, Pay 7 life: Destroy target nonland permanent. Activate this ability only during your turn."
Vona's Hunger,Rivals of Ixalan,2B,Instant,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421760/large/155570_200w.jpg?1514916888,1.5,,"A 3-mana edict is not exciting, so to really make this worth it, you have to hit the city's blessing more often than not. That does seem doable in black, so I could see this gaining ground if the format is slow enough to support such a strategy.",black,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Each opponent sacrifices a creature. If you have the city's blessing, instead each opponent sacrifices half the creatures he or she controls, rounded up."
Voracious Vampire,Rivals of Ixalan,2B,Creature  - Vampire Knight,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422080/large/155787_200w.jpg?1515181285,3,,"A solid threat with an ability that pushes extra damage through is nice, making this a good playable in Vampire decks.",black,rix,2,2,"Menace. When Voracious Vampire enters the battlefield, target Vampire you control gets +1/+1 and gains menace until end of turn."
